E 0 0 7 0 F G 5 0 0 9 0 0 0 3 0 
4 0 0 1 3 6 0 9 0 0 0 0 7 A B 0 
0 8 0 A 0 0 0 0 0 0 C 0 0 0 4 9 
0 0 0 3 0 0 0 0 5 4 0 0 2 G F C 
0 0 9 0 0 0 0 F 0 0 0 2 0 0 0 0 
6 0 4 0 0 0 D C F 8 0 0 0 0 A 3 
0 0 0 0 A 0 0 B 0 5 7 0 8 1 0 4 
F 0 0 0 8 0 0 E 0 0 A G 0 9 0 0 
0 7 E 0 G 0 0 0 0 3 8 0 9 F 5 0 
2 0 0 0 0 A 6 0 D 0 0 0 3 0 0 0 
D 0 0 0 0 0 4 8 C G E 0 A 0 0 2 
0 6 F 8 2 1 0 0 0 B 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 B 4 0 C 0 5 
C 0 6 0 0 D 1 2 0 0 0 0 0 0 G A 
0 0 0 B 0 G 0 6 A 7 2 0 1 0 0 0 
0 0 0 0 0 0 0 0 G F 0 6 0 B 0 0 
