0 0 0 0 G F 0 0 B 0 0 0 0 0 E 0 
0 E 3 0 0 0 0 0 G 0 C D 0 0 0 F 
0 0 0 B C 0 9 0 E 0 0 0 3 0 D 0 
0 2 7 0 0 B 0 6 1 5 0 0 G 0 0 0 
0 0 1 0 0 0 0 8 0 D 0 C 0 0 A 0 
4 0 0 D 6 0 E 0 0 B 8 F 0 7 0 0 
0 0 0 0 D 0 7 C 0 G 2 0 E 1 4 5 
5 0 0 G 0 0 0 2 0 0 A 0 0 0 0 3 
3 B 0 0 0 4 1 F 0 0 0 2 0 D 7 0 
8 D 0 0 3 0 0 0 0 9 E 0 0 2 0 0 
0 0 F 2 A 0 0 0 8 0 1 0 B 0 5 G 
0 0 0 0 2 7 D 0 0 0 0 6 9 0 0 0 
0 0 9 0 0 A G 1 0 0 0 0 0 0 0 0 
D 7 A 0 0 0 6 0 0 8 0 0 0 E 0 4 
0 0 2 C 0 0 0 0 0 1 0 0 D 0 B 8 
0 6 0 0 0 0 0 D 0 F 5 A 7 0 0 0 
