0 0 6 8 0 A 0 1 0 0 0 0 9 E 5 0 
0 0 0 0 G 0 0 0 0 0 6 0 2 0 C 0 
0 D 0 C 3 0 0 7 0 1 8 E 0 0 0 0 
9 5 0 4 E 0 0 0 D F 0 0 0 0 0 A 
0 F D B 0 0 9 0 G 0 0 0 0 0 0 0 
G 0 8 0 0 0 0 0 3 E 4 0 0 A 0 C 
A 1 0 0 0 0 0 0 B 2 0 0 0 0 6 0 
5 0 2 0 0 0 3 D 6 A 0 0 0 0 1 0 
0 2 0 0 6 0 0 0 0 0 0 4 0 0 F 0 
0 G 0 0 0 0 8 4 0 6 0 0 0 0 0 0 
3 8 0 D 0 F 7 0 0 0 0 9 0 4 0 B 
0 0 5 0 A E 0 2 F 0 0 0 D 0 0 G 
0 0 B 5 0 2 E 0 A C F 0 3 0 8 0 
D 0 0 A 0 C 0 B 2 3 0 7 0 0 0 E 
7 C G 0 0 0 0 0 0 0 0 1 0 0 0 0 
1 4 9 0 0 0 0 8 0 0 E 0 7 0 G 0 
