0 B I 1 0 0 0 6 0 0 0 0 0 0 0 0 0 0 G L 0 A 7 0 0 
0 9 0 A 4 0 M 0 0 0 0 J N 0 0 0 0 0 3 0 0 0 0 0 0 
0 0 0 0 0 0 0 B D G M 0 8 0 0 0 0 0 0 0 0 0 H 0 N 
0 0 7 E 5 0 0 0 0 0 0 0 0 2 0 N 0 0 D 0 0 0 0 1 0 
0 6 D 0 F 5 0 9 0 P 0 0 0 0 0 0 0 0 0 O 0 0 0 C 0 
0 0 0 0 0 0 0 0 0 0 0 A 0 3 F 0 0 0 0 0 0 J 0 0 8 
0 0 0 0 0 0 G 5 0 0 0 0 0 0 0 0 F 0 0 3 4 0 0 P 0 
0 0 P 6 0 0 0 0 0 C 4 0 0 0 0 O 8 0 0 0 0 0 0 0 0 
M 0 0 0 0 0 0 0 0 0 0 C H 0 0 0 0 0 0 A 0 0 0 0 L 
J 0 0 0 0 0 0 7 0 0 0 0 0 0 0 M 0 0 H 0 0 0 0 0 0 
0 0 J 0 0 0 0 0 0 0 0 P L 0 0 8 N 0 0 0 0 0 0 0 0 
0 0 0 0 0 O 0 8 0 A 2 0 0 0 0 D 0 0 0 0 0 H 1 0 0 
C O 0 0 0 0 0 0 0 D 0 H 0 0 0 2 0 0 0 0 0 0 N J 0 
0 0 0 0 0 0 0 G 0 H 5 I 0 0 0 0 0 0 0 F 0 0 0 M 0 
0 8 0 0 0 0 0 0 0 0 0 0 0 B 0 0 0 0 0 0 0 0 0 0 6 
0 N 1 5 0 6 0 0 0 0 0 8 0 0 0 0 H 0 0 0 0 0 0 4 0 
0 D 0 0 0 0 J N 0 3 0 0 0 I 0 0 0 0 0 0 0 0 0 0 E 
0 0 0 P J 0 0 0 O 0 0 L 0 0 0 0 0 0 0 0 A 0 0 D 0 
8 0 0 0 0 0 0 0 0 0 0 0 D 0 0 0 0 0 0 0 0 0 0 L 0 
0 3 M 0 0 0 0 0 L F 0 0 A 0 0 0 5 0 P K 0 0 0 0 C 
2 K 0 H 0 0 F 0 0 0 0 0 0 0 0 4 0 0 0 5 0 M 0 6 0 
9 P 0 0 0 0 0 0 0 M 0 0 O F 0 0 0 0 0 7 0 0 4 0 0 
0 0 0 0 0 K 0 L 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 I C 0 0 9 0 0 E 0 0 0 0 0 
0 0 0 0 0 4 0 0 5 0 P 0 0 G 0 0 0 0 0 0 0 E O 0 A 
