0 0 B 0 0 I G 0 9 0 0 K 0 A 0 0 0 0 0 0 0 0 7 0 0 
0 0 1 0 0 0 L 0 0 0 J 0 0 0 0 2 0 0 0 0 5 F 4 0 P 
0 0 K 0 7 0 0 0 0 5 0 0 0 0 0 N O 0 D 0 0 0 3 0 0 
F 0 0 0 0 1 H 0 0 0 0 0 0 0 0 0 0 0 C 8 0 O 0 0 2 
5 0 0 0 0 N 0 0 O 0 0 0 0 P 0 0 0 0 0 0 0 0 0 0 0 
0 0 3 0 0 0 5 G 0 0 0 0 0 0 2 0 I 0 0 6 4 0 0 0 9 
0 0 0 0 0 6 D 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 P 0 0 
0 0 0 D 0 0 0 I 0 0 3 0 0 0 0 0 0 0 0 0 A 0 0 0 0 
0 0 0 0 0 A 0 7 8 4 0 0 0 D 0 M 0 0 0 0 0 0 0 0 L 
8 4 0 0 0 0 0 0 0 0 0 0 0 0 E C 0 0 F 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 2 6 0 0 0 0 0 0 0 0 1 H 0 0 J D 
0 0 0 0 9 0 0 0 0 0 H I 0 0 4 0 0 G 0 0 0 0 O 0 0 
0 0 0 0 G 0 0 0 0 0 N 0 0 0 0 F 2 0 J 0 0 0 0 0 0 
0 0 0 0 1 0 0 O 0 J E 0 0 0 0 0 0 0 0 0 6 0 0 0 8 
0 0 0 0 P 0 3 A 0 0 0 0 0 J 0 0 0 0 0 0 0 0 0 0 0 
0 F 0 0 0 0 0 0 0 N 0 D 0 0 6 L 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 M 0 0 0 9 J C 0 0 0 0 B 0 H 0 D E 0 0 
0 7 0 0 0 0 0 0 K C 0 0 0 0 0 8 0 5 0 F B 0 0 0 0 
0 0 M 8 0 B 0 0 0 7 0 A 0 K 0 0 0 0 0 0 0 0 0 0 0 
0 A 0 0 0 8 0 0 0 0 0 N 0 5 0 I 0 0 0 0 0 0 0 0 0 
0 C 0 0 B 0 0 0 0 0 0 0 G 2 H 0 0 0 0 A 0 J 0 0 0 
0 0 0 0 0 0 0 0 0 H 0 3 1 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 N 8 2 0 0 0 F 0 0 0 0 0 0 0 0 G 0 0 5 0 0 0 
0 D 0 0 0 G 8 0 0 0 5 0 0 4 O 0 0 0 0 0 0 E 0 K 0 
0 O 0 0 0 9 0 N C 0 0 0 7 L 0 0 6 0 0 0 0 0 1 0 0 
