0 0 0 B 0 0 F 0 0 0 N P 0 0 E 0 6 C 0 7 2 0 0 H M 
E 0 0 F 0 0 0 D 0 9 0 7 O 0 0 0 0 0 0 0 0 0 0 N 0 
0 J 0 0 0 0 0 0 7 0 0 0 G 0 M 0 K 0 0 0 0 0 5 4 0 
0 0 0 0 0 3 0 A 0 0 F L 0 0 0 0 0 0 0 B 0 0 0 7 0 
0 0 0 0 0 4 0 0 0 0 I D 0 9 0 8 0 0 O 0 0 6 1 0 0 
N 0 D 0 0 0 H 3 0 0 0 0 0 0 P 0 0 0 0 0 6 0 0 A 1 
0 0 F 0 C 0 0 G 0 K 0 0 0 0 4 0 0 0 0 L 0 0 0 9 J 
0 0 0 0 E 0 0 O C 0 0 N 6 0 0 0 5 0 H 0 7 0 0 0 P 
0 0 0 0 0 P 7 0 0 J E 0 0 8 0 3 4 0 0 K I B 0 0 0 
0 P 0 L 0 0 0 0 8 0 0 0 0 2 0 0 0 F 7 0 0 0 0 0 0 
0 0 1 O 0 0 0 0 D 0 0 G 0 J F 0 0 0 N 0 0 K 0 E 0 
0 0 0 0 D 0 0 B H 0 3 0 0 0 0 0 0 9 0 0 G 8 A 0 0 
0 0 0 7 K M 0 F 0 0 O 0 C 0 0 0 0 2 0 A 0 0 0 0 0 
0 L P 0 0 A 0 0 0 0 B 2 0 0 D 0 C 0 0 O 0 0 0 3 0 
0 0 0 0 6 0 0 E 0 C 1 0 0 0 N 0 0 5 0 0 0 7 0 0 0 
4 0 C 0 0 K 8 0 A 0 0 0 0 0 0 0 0 0 I N 0 E 0 0 0 
0 0 5 0 0 0 0 0 0 2 0 O 3 H 0 E G D 0 P 0 J 0 0 0 
0 0 0 0 0 0 0 0 0 5 K 0 0 0 0 0 0 0 0 F 9 D 0 0 0 
0 A O 0 H I G 0 F 6 0 0 0 0 0 5 0 0 M 0 8 0 0 0 0 
0 M 3 0 0 0 0 0 0 0 G 0 L E 9 0 0 0 0 1 0 0 0 0 K 
P K 0 1 0 7 5 0 0 N 0 0 0 0 0 L 0 0 0 0 H 0 0 G 0 
0 0 0 G 0 0 0 0 0 0 0 0 0 0 0 C 1 H 0 0 K F I 0 D 
3 C 0 0 0 0 0 I 0 0 0 0 P 0 B 0 0 0 0 0 0 0 O 0 5 
B F A N 0 0 0 J 0 0 0 0 E 0 6 D 0 0 0 2 0 P 0 0 0 
0 6 0 0 5 0 0 9 0 0 0 0 0 0 0 F 0 0 0 0 0 0 0 0 0 
