9 8 0 0 0 0 O 5 A 0 6 0 F 0 L 0 0 0 0 K 0 0 0 0 0 
A D O 0 N M 1 L 0 0 G B E 0 0 0 0 P 0 0 0 0 0 0 0 
0 L 0 0 0 4 0 0 0 0 0 0 O 0 0 0 H 0 9 0 3 0 8 0 0 
1 0 0 0 0 0 C P J 3 0 4 0 0 0 O 0 0 0 0 E 0 0 D B 
C 0 0 0 2 8 0 9 G 0 0 0 0 K 0 5 3 B 0 0 0 L 0 N 0 
0 4 0 0 M C F 0 7 0 J 0 0 5 1 0 0 0 6 9 0 A L 0 D 
0 I F N 0 B 0 0 M O 0 0 0 8 P C 0 0 D 4 9 6 2 0 0 
0 0 0 0 0 0 8 0 0 A 7 0 0 M K 0 N 0 0 0 G 4 P E 3 
0 2 0 0 3 0 0 0 0 6 N 0 0 0 0 P 0 0 0 0 0 0 0 0 0 
6 0 K H 9 0 0 0 E 0 0 0 3 F 0 0 0 0 8 0 0 0 7 0 M 
8 H 0 J P 0 0 0 0 0 L K 1 0 0 0 0 0 0 5 0 C 0 4 0 
0 0 0 0 0 D 0 2 0 G O F N 6 7 H 0 0 C 0 0 5 0 0 0 
0 G 0 0 D L 0 0 0 8 0 0 9 0 4 0 6 0 E M 0 0 0 7 2 
0 0 0 0 0 0 0 0 3 1 0 5 0 J 0 0 B L 0 0 0 0 K 0 0 
K 0 0 4 7 0 H N O I A 0 C 0 0 D G 0 0 0 0 8 B 0 6 
0 B 0 0 H 0 M 0 0 0 K 0 I 0 0 0 0 N 0 0 0 0 0 0 J 
0 0 0 0 O 0 3 0 4 K 0 G 0 0 0 E 0 2 P 0 B 0 0 0 L 
0 0 I K 0 0 0 0 0 0 2 O H 0 0 0 1 0 0 0 0 N 0 0 9 
5 0 P 8 0 0 0 G 1 0 0 0 0 N 6 0 0 O F H 0 2 4 C A 
0 0 0 0 0 N J 6 C 0 1 0 0 0 0 B K 0 G 3 D 0 F H 0 
B 0 E 0 0 0 0 0 0 D 0 I K O 0 0 0 0 0 0 4 0 0 0 0 
O 0 N 0 0 0 0 0 0 0 0 0 0 9 E 0 C 5 0 7 8 0 6 0 0 
0 K 7 D C 0 0 0 0 0 0 3 G 0 0 0 I 0 4 0 0 0 0 F 0 
0 0 0 0 0 6 N A 2 H 0 0 0 L M G 0 0 0 0 0 0 3 1 5 
0 F 0 G 0 P 0 0 L 4 D 0 0 A 0 0 0 0 0 0 0 H I 0 0 
