0 0 7 0 0 0 4 0 0 0 0 0 0 0 0 0 K 0 1 J 0 0 0 B 8 
0 0 D 0 A 9 0 0 0 0 0 O N 0 B 0 6 0 0 0 C L K 0 0 
0 L 0 N 0 0 0 B 0 2 C G 0 0 0 0 P 0 H 0 O M 7 0 0 
9 0 0 K 5 8 A 0 L G 0 0 0 4 7 0 0 0 0 0 0 0 E 0 0 
H 0 0 0 0 5 O D 0 0 0 0 J 0 2 M 0 0 0 8 0 I 0 3 6 
0 0 0 0 8 0 H 0 0 0 O 0 2 0 0 0 M 0 F 0 0 0 0 6 0 
0 0 0 0 I 0 J 8 G N 0 D 0 7 0 0 9 0 0 3 0 K L 0 0 
0 N 0 0 K 0 3 0 0 0 0 I 0 L 8 0 E G 0 0 1 0 0 0 J 
0 G 0 0 D O 0 0 0 0 0 0 0 0 0 4 5 0 0 0 0 9 M 0 C 
0 F 0 0 6 I L 0 2 0 0 0 P J 0 0 0 0 0 0 0 0 D H 0 
0 E 2 0 0 0 0 J 0 8 0 0 L 0 0 0 0 B 0 9 0 0 6 0 P 
0 0 C 0 0 F 0 0 5 0 K A O 0 0 0 1 0 3 G 0 0 0 0 0 
0 0 A 0 0 C 0 M 0 0 I 0 3 0 9 0 0 P 0 E 0 0 G 0 0 
6 0 9 0 H 7 0 O N 1 0 8 5 0 0 0 0 0 0 0 0 0 0 L K 
0 0 0 1 O D 0 A I 0 E 0 G 0 0 0 0 6 C 0 7 J B 5 N 
M 3 0 P 4 B 5 0 9 0 D 0 1 N 0 0 C A 0 L H 0 0 K 0 
A 0 5 0 0 N 0 0 0 0 6 L F 0 O 0 0 3 0 0 M 0 0 E 0 
7 0 0 0 0 H G 0 0 3 P 5 0 C 0 0 0 0 0 0 A 0 8 O 0 
0 B 6 I J 4 M 0 0 0 0 0 0 0 E P 0 0 0 0 0 0 0 0 5 
0 0 0 G 0 0 0 2 0 6 0 0 4 0 0 N 0 O 0 0 0 0 P 0 I 
0 0 I 0 3 0 D 1 0 0 N 0 E 0 0 O 0 F 8 M 0 0 0 0 0 
0 0 M 0 0 K 0 0 4 0 2 B 0 F 0 0 0 0 0 5 0 0 I 0 0 
0 0 0 0 0 2 0 0 C 0 0 P D 1 0 0 0 H A 0 0 0 0 0 0 
0 0 0 0 G A 0 F P 5 3 H I 0 0 E 0 0 D 1 4 0 0 0 L 
N 0 0 7 E 0 0 0 0 0 0 9 0 A 0 C 0 L 6 I 5 F 2 8 O 
