J 0 D M 0 0 0 0 C P 1 0 0 O 0 L 5 H 4 0 8 G 0 2 F 
1 0 P 0 0 O 0 7 0 8 0 0 0 B 0 M 2 0 0 9 K J 6 0 N 
0 0 0 3 0 0 H 6 B M D 0 0 0 2 0 0 0 0 G E 0 0 0 0 
A 0 6 O 0 0 4 0 L 0 0 I 0 5 E N 0 P F J 1 0 7 9 0 
8 0 L I G A 5 0 D 0 0 0 0 4 0 0 3 0 0 0 0 C H 0 B 
F 5 8 0 0 D 0 0 0 0 K 0 7 E 0 6 0 0 0 0 9 0 0 P A 
0 2 0 D 0 I F E 0 0 0 0 H 0 C 0 0 7 J 0 0 6 G 3 0 
0 7 3 0 0 4 A 1 G B 0 0 6 J 5 9 C 0 0 N L 0 0 D 0 
P 0 0 G 4 L M 9 0 0 0 O 0 0 F D 1 0 3 0 H 7 2 0 0 
0 H 0 0 6 5 P K 0 0 0 8 0 9 0 0 4 O 0 0 0 0 0 M 0 
C 1 0 P 2 J 0 0 M 9 0 0 4 8 0 H 0 6 0 0 D 0 L I 0 
0 I 0 0 0 0 0 0 K E 9 H 0 3 P J M 0 0 D 0 O F 5 7 
K O 0 0 0 0 3 0 0 0 F 0 D I L C B 0 0 0 0 0 A 0 0 
N F 0 6 0 0 0 0 0 0 M 0 0 2 0 0 0 L 1 0 0 0 0 E G 
9 0 0 0 0 0 0 G 8 O 0 0 1 0 N 2 0 0 0 0 0 P 0 0 0 
M D C 0 0 0 6 J 0 0 E 7 N 0 0 F A 0 0 0 0 I 0 0 0 
G 0 0 L 0 8 E M 0 0 B 0 P K 0 5 7 0 C O 0 0 3 0 J 
0 0 0 0 5 P I 0 0 0 J 0 8 0 0 G 0 0 L 2 B A 0 7 O 
2 3 4 N 7 0 O 0 0 0 6 1 0 0 G 0 0 0 9 I P 0 D K H 
I B J 0 0 3 G 0 1 0 L 0 0 C A 4 0 0 K M 0 0 0 0 0 
0 K E 0 0 9 0 O I 0 0 6 M 0 D 0 G 0 0 P 3 0 0 0 0 
3 G 0 0 0 K 0 0 J 0 0 0 C L 0 B 0 8 7 H 6 0 0 0 0 
0 0 0 0 C G 0 0 0 H 0 K 0 0 J 0 0 2 N 0 0 1 0 L M 
0 0 M 0 L 0 0 0 2 0 0 0 0 0 0 0 6 1 0 5 0 8 9 C 0 
0 9 I 5 B 0 L D 0 C 0 G 0 0 7 0 E 0 0 K N 0 0 O 4 
