0 O 0 I 0 0 0 B 0 3 P 0 0 M D 0 0 8 0 0 0 0 A 0 1 
E 0 1 0 D H J P 0 0 0 0 0 F 6 0 2 0 4 K 0 3 0 N 0 
0 0 0 N 0 7 0 0 0 D 5 3 J L 0 0 1 M 0 B 8 6 F 0 0 
0 6 8 B 0 0 0 0 N 0 E 7 0 9 0 0 0 0 H A C 0 4 O 0 
0 0 3 0 9 G M 0 I 0 2 0 0 0 0 J C 0 0 P B 0 0 0 0 
H 0 0 0 O 0 D 0 F 5 0 E K I L 0 0 0 0 G 0 0 0 P 8 
0 0 D 0 P N 0 0 6 0 0 0 0 7 3 L 5 0 0 0 0 1 0 H K 
8 J G 3 K 1 0 A 0 0 0 9 F 4 0 P 0 N 0 0 0 0 0 I 0 
F 0 0 0 0 0 0 0 7 L 8 P 6 0 0 0 0 0 B M O 0 0 4 0 
0 B 0 C 5 0 2 0 0 0 J 0 0 0 H 0 6 4 0 0 M D G E 0 
0 A 0 J 0 L 0 4 0 B 9 0 8 D K 0 H 7 0 0 3 N 0 M 0 
K 0 0 0 0 0 0 N G O 0 0 0 0 0 I E 0 1 0 0 0 0 6 0 
4 0 0 2 N 0 0 1 0 M G 0 C A E 0 D J L 0 9 F I 0 0 
0 0 I P 7 A 0 0 0 8 B 2 0 6 5 3 N 0 0 0 1 0 0 0 0 
M 0 0 5 0 0 P 3 0 H I 0 L 0 0 8 0 C A 0 4 0 D 0 0 
L 4 0 0 J 0 E H 0 0 A 0 3 0 7 1 0 0 O 0 6 0 0 0 0 
5 0 6 K M 0 0 0 P C D 0 0 0 0 0 8 0 0 4 0 I N G 9 
0 0 0 0 0 3 0 L 0 0 O 0 0 2 1 H B 0 E 0 5 4 0 0 0 
0 0 2 0 0 O 7 0 4 N 0 0 0 E G 0 J 0 P 0 0 C B 1 D 
A P B 0 C 5 K 0 0 0 0 N 0 8 J D 0 3 0 F L 2 M 0 0 
0 7 M 0 H 0 3 0 0 0 4 8 G 0 0 0 0 0 0 0 0 B 0 A N 
0 0 0 0 6 0 B 0 0 4 0 5 0 0 0 O I K 0 H 0 0 0 0 0 
0 0 L D 0 0 0 O C P 3 M 2 1 0 0 F 9 0 N H 5 E J G 
0 1 N 4 3 6 H F M 0 0 L 0 O P B 0 5 0 J 0 0 2 K C 
O 0 0 0 0 0 5 0 A J 0 0 0 0 9 E M 0 0 0 0 0 3 L 0 
