0 4 K 0 B 0 H E 0 M G C 7 0 F N J 0 9 D 0 P 0 0 0 
0 0 0 1 E C 0 6 0 0 0 0 B 0 N 0 0 H 8 0 0 O 3 L 0 
H J 2 0 6 0 8 0 1 G O 0 0 0 0 0 0 0 B 0 0 0 9 4 D 
G 0 0 0 0 0 0 3 0 N J A 2 I D 6 4 0 0 C 0 8 0 1 H 
0 F 0 I 0 0 0 B 0 O 0 1 0 0 K 5 0 3 L 0 6 0 G 0 J 
0 0 F G 8 0 0 2 0 9 0 0 0 0 0 4 0 0 H L 0 N 0 M I 
0 0 0 0 0 P N 0 5 3 0 G K 0 J 0 0 7 0 0 H 0 A 0 0 
0 0 0 L D 0 J 0 0 0 P 0 1 M 0 0 0 6 0 2 0 4 0 B 0 
0 I 0 P 0 0 0 0 L E 0 B 0 8 O 0 0 K 0 9 3 7 0 F 0 
0 B O C 7 0 0 0 0 A F 0 0 0 4 M 0 N 0 J G D L 0 0 
2 K E 0 0 0 0 0 G J 0 0 D 0 9 1 0 0 0 3 0 0 0 0 P 
M 0 H 0 0 0 0 0 A 0 0 0 0 O 6 8 0 4 0 0 0 0 0 0 0 
L 0 0 0 0 D C 0 7 0 0 3 I 0 0 0 0 2 6 H F 0 B 0 M 
J A B 4 0 H 0 0 0 0 0 0 0 K 0 G 7 0 0 0 I 0 0 0 N 
9 3 I 8 0 0 M P 0 F L 0 0 H E 0 0 O A 0 0 1 C 5 7 
0 0 0 B 1 0 0 0 0 D 2 8 G 0 0 K F 0 0 0 0 0 M I 0 
5 C L 3 2 0 0 J N 0 0 O 0 E I 0 0 0 0 0 1 B D H 9 
0 8 9 0 0 M P L 3 0 0 0 6 0 0 0 0 0 0 E O 5 0 0 0 
D 0 6 H 0 9 0 I 0 5 N 0 3 L 0 0 B P G 0 0 J 7 0 A 
O N M 0 0 B K 0 0 0 0 D F 5 0 2 6 1 0 8 C E 4 P L 
B 0 0 0 F J 0 0 P 0 0 0 0 C 2 0 A 0 0 0 4 0 1 0 E 
P 1 0 0 3 0 L F 0 K H 0 0 0 A 0 E 0 5 O 0 0 J 0 B 
0 0 G 0 0 0 A 7 0 0 0 4 0 0 8 9 D 0 0 K 0 L 0 0 0 
0 0 8 7 0 0 5 1 0 0 0 L 0 0 0 0 N 0 0 M 0 9 2 G 0 
0 6 0 0 A I 2 D 4 0 E 0 0 3 1 0 G L 0 F 5 0 N 8 K 
